category,n_domains,pct_requests,pct_bytes,median_bytes
Tag manager,26,6.330778426732634,40.613924346416404,44.0
Content (CDN),573,9.124079450393804,25.29343649744833,6072.0
Advertising,2605,66.49676182729176,17.782126891812915,168.0
Social,121,7.867185093996208,10.980696198514023,1407.0
Analytics,322,8.55064986499041,3.0751796362583845,43.0
Other,892,0.8416169327906948,1.362721407853692,532.5
Consent provider,38,0.7147675949934597,0.7854553197448928,1220.0
Fingerprinting,15,0.074160808811032,0.1064597019513552,7117.0
